Approved symbol	Approved name	Synonyms
ABCC5	ATP binding cassette subfamily C member 5	MRP5, SMRP, EST277145, MOAT-C
ABCC6	ATP binding cassette subfamily C member 6	MRP6, EST349056, MLP1, URG7
ABCC8	ATP binding cassette subfamily C member 8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9	ATP binding cassette subfamily C member 9	SUR2, CMD1O
ABCC10	ATP binding cassette subfamily C member 10	EST182763, MRP7, SIMRP7
ABCC11	ATP binding cassette subfamily C member 11	MRP8
ABCC12	ATP binding cassette subfamily C member 12	MRP9
ABCD1	ATP binding cassette subfamily D member 1	AMN, ALDP, adrenoleukodystrophy
ABCD2	ATP binding cassette subfamily D member 2	ALDR, ALDRP
ABCD3	ATP binding cassette subfamily D member 3	PMP70, ZWS2
ABCD4	ATP binding cassette subfamily D member 4	PMP69, P70R, EST352188
ABCE1	ATP binding cassette subfamily E member 1	RLI, OABP, RLI1
ABCF1	ATP binding cassette subfamily F member 1	EST123147
ABCF2	ATP binding cassette subfamily F member 2	EST133090, ABC28, M-ABC1, HUSSY-18
ABCF3	ATP binding cassette subfamily F member 3	EST201864
ABCG1	ATP binding cassette subfamily G member 1	ABC8
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	EST157481, MXR, BCRP, ABCP, CD338
ABCG4	ATP binding cassette subfamily G member 4	WHITE2
ABCG5	ATP binding cassette subfamily G member 5	STSL
ABCG8	ATP binding cassette subfamily G member 8	GBD4
ABHD1	abhydrolase domain containing 1	LABH1, FLJ36128
ABHD2	abhydrolase domain containing 2	LABH2
ABHD3	abhydrolase domain containing 3	LABH3
ABHD4	abhydrolase domain containing 4	FLJ12816
ABHD5	abhydrolase domain containing 5	CGI-58, NCIE2
ABHD6	abhydrolase domain containing 6	
ABHD8	abhydrolase domain containing 8	FLJ11743, MGC14280, MGC2512
ABHD10	abhydrolase domain containing 10	FLJ11342
ABHD11	abhydrolase domain containing 11	PP1226
ABHD12	abhydrolase domain containing 12	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ABHD12B	abhydrolase domain containing 12B	BEM46L3
ABHD13	abhydrolase domain containing 13	bA153I24.2, FLJ14906, BEM46L1
ABHD14A	abhydrolase domain containing 14A	DKFZP564O243, DORZ1
ABHD14B	abhydrolase domain containing 14B	MGC15429, CIB
ABHD15	abhydrolase domain containing 15	
ABHD16A	abhydrolase domain containing 16A	NG26, D6S82E
ABHD16B	abhydrolase domain containing 16B	dJ591C20.1
ABHD17A	abhydrolase domain containing 17A	MGC5244
ABHD17B	abhydrolase domain containing 17B	CGI-67
ABHD17C	abhydrolase domain containing 17C	
ABHD18	abhydrolase domain containing 18	FLJ21106
ABI1	abl interactor 1	E3B1, ABI-1
ABI2	abl interactor 2	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3	ABI family member 3	NESH, SSH3BP3
ABI3BP	ABI family member 3 binding protein	NESHBP, DKFZP586L2024, TARSH
ABITRAM	actin binding transcription modulator	CG-8, FLJ20457, Simiate
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	JTK7, c-ABL, p150
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ARG
ABLIM1	actin binding LIM protein 1	abLIM, limatin
ABLIM2	actin binding LIM protein family member 2	KIAA1808
ABLIM3	actin binding LIM protein family member 3	KIAA0843
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	A3GALNT, A3GALT1
ABR	ABR activator of RhoGEF and GTPase	MDB
ABRA	actin binding Rho activating protein	STARS
ABRACL	ABRA C-terminal like	PRO2013, HSPC280, Costars
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	FLJ13614, ABRA1, ABRAXAS
ABRAXAS2	abraxas 2, BRISC complex subunit	Em:AC068896.4, ABRO1
ABT1	activator of basal transcription 1	Esf2
ABTB1	ankyrin repeat and BTB domain containing 1	BPOZ, EF1ABP, Btb3, BTBD21
ABTB2	ankyrin repeat and BTB domain containing 2	DKFZP586C1619, BTBD22, ABTB2A
ACAA1	acetyl-CoA acyltransferase 1	
ACAA2	acetyl-CoA acyltransferase 2	DSAEC
ACACA	acetyl-CoA carboxylase alpha	ACC1
ACACB	acetyl-CoA carboxylase beta	HACC275, ACC2, ACCB
ACAD8	acyl-CoA dehydrogenase family member 8	
ACAD9	acyl-CoA dehydrogenase family member 9	NPD002, MGC14452
ACAD10	acyl-CoA dehydrogenase family member 10	MGC5601
ACAD11	acyl-CoA dehydrogenase family member 11	FLJ12592
ACADL	acyl-CoA dehydrogenase long chain	LCAD, ACAD4
ACADM	acyl-CoA dehydrogenase medium chain	MCAD, MCADH, ACAD1
ACADS	acyl-CoA dehydrogenase short chain	SCAD, ACAD3
ACADSB	acyl-CoA dehydrogenase short/branched chain	SBCAD, ACAD7
ACADVL	acyl-CoA dehydrogenase very long chain	VLCAD, LCACD, ACAD6
ACAN	aggrecan	CSPGCP
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	KIAA0050
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	KIAA0041, CNT-B2
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	KIAA1716
ACAT1	acetyl-CoA acetyltransferase 1	THIL
ACAT2	acetyl-CoA acetyltransferase 2	
ACBD3	acyl-CoA binding domain containing 3	GCP60, PAP7
ACBD4	acyl-CoA binding domain containing 4	FLJ13322
ACBD5	acyl-CoA binding domain containing 5	DKFZp434A2417, KIAA1996
ACBD6	acyl-CoA binding domain containing 6	MGC2404
ACBD7	acyl-CoA binding domain containing 7	FLJ38219, bA455B2.2
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	PHACS, ACS
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	
ACD	ACD shelterin complex subunit and telomerase recruitment factor	Ptop, Pip1, Tpp1, Tint1
ACE	angiotensin I converting enzyme	ACE1, CD143
ACE2	angiotensin I converting enzyme 2	
ACER1	alkaline ceramidase 1	
ACER2	alkaline ceramidase 2	FLJ41587, ALKCDase2
ACER3	alkaline ceramidase 3	FLJ11238, APHC
ACHE	acetylcholinesterase (Cartwright blood group)	
ACIN1	apoptotic chromatin condensation inducer 1	KIAA0670, fSAP152
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	CCBP1, GPD, Dfy, CD234
ACKR2	atypical chemokine receptor 2	CCR10, D6, CCR9
ACKR3	atypical chemokine receptor 3	RDC1, GPR159
ACKR4	atypical chemokine receptor 4	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACLY	ATP citrate lyase	ATPCL, CLATP, ACL
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	
ACO1	aconitase 1	IRP1, IREBP
ACO2	aconitase 2	ACONM
ACOD1	aconitate decarboxylase 1	CAD
ACOT1	acyl-CoA thioesterase 1	ACH2, CTE-1, LACH2
ACOT2	acyl-CoA thioesterase 2	Mte1, ZAP128
ACOT4	acyl-CoA thioesterase 4	FLJ31235, PTE-Ib, PTE2B
ACOT6	acyl-CoA thioesterase 6	
ACOT7	acyl-CoA thioesterase 7	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	acyl-CoA thioesterase 8	hACTE-III, hTE, PTE-2, NAP1
ACOT9	acyl-CoA thioesterase 9	CGI-16, MT-ACT48, ACATE2
ACOT11	acyl-CoA thioesterase 11	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12	acyl-CoA thioesterase 12	Cach, THEAL, STARD15
ACOT13	acyl-CoA thioesterase 13	HT012
ACOX1	acyl-CoA oxidase 1	PALMCOX
ACOX2	acyl-CoA oxidase 2	BRCACOX, BRCOX, THCCox
ACOX3	acyl-CoA oxidase 3, pristanoyl	
ACOXL	acyl-CoA oxidase like	FLJ11042
ACP1	acid phosphatase 1	HAAP, LMW-PTP, LMWPTP
ACP2	acid phosphatase 2, lysosomal	LAP
ACP3	acid phosphatase 3	ACP-3, PAP, TM-PAP
ACP4	acid phosphatase 4	
ACP5	acid phosphatase 5, tartrate resistant	TRAP, HPAP
ACP6	acid phosphatase 6, lysophosphatidic	LPAP, ACPL1
ACP7	acid phosphatase 7, tartrate resistant (putative)	FLJ16165, PAPL1, PAPL
ACR	acrosin	
ACRBP	acrosin binding protein	SP32, OY-TES-1, CT23
ACRV1	acrosomal vesicle protein 1	SPACA2, SP-10, D11S4365
ACSBG1	acyl-CoA synthetase bubblegum family member 1	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2	acyl-CoA synthetase bubblegum family member 2	BGR, PRTD-NY3, DKFZp434K1635
ACSF2	acyl-CoA synthetase family member 2	FLJ20920, ACSMW
ACSF3	acyl-CoA synthetase family member 3	
ACSL1	acyl-CoA synthetase long chain family member 1	LACS2, LACS, ACS1, LACS1, FACL1
ACSL3	acyl-CoA synthetase long chain family member 3	ACS3, PRO2194
ACSL4	acyl-CoA synthetase long chain family member 4	ACS4, LACS4
ACSL5	acyl-CoA synthetase long chain family member 5	ACS5, ACS2
ACSL6	acyl-CoA synthetase long chain family member 6	KIAA0837, ACS2, LACS5, LACS2
ACSM1	acyl-CoA synthetase medium chain family member 1	MACS1
ACSM2A	acyl-CoA synthetase medium chain family member 2A	A-923A4.1, MGC150530
ACSM2B	acyl-CoA synthetase medium chain family member 2B	HXMA, HYST1046
ACSM3	acyl-CoA synthetase medium chain family member 3	SA
ACSM4	acyl-CoA synthetase medium chain family member 4	
ACSM5	acyl-CoA synthetase medium chain family member 5	FLJ20581
ACSM6	acyl-CoA synthetase medium chain family member 6	bA310E22.3
ACSS1	acyl-CoA synthetase short chain family member 1	dJ568C11.3, AceCS2L, MGC33843
ACSS2	acyl-CoA synthetase short chain family member 2	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3	acyl-CoA synthetase short chain family member 3	FLJ21963
ACTA1	actin alpha 1, skeletal muscle	NEM3
ACTA2	actin alpha 2, smooth muscle	ACTSA
ACTB	actin beta	
ACTBL2	actin beta like 2	DKFZp686D0972
ACTC1	actin alpha cardiac muscle 1	CMD1R
ACTG1	actin gamma 1	
ACTG2	actin gamma 2, smooth muscle	ACTSG
ACTL6A	actin like 6A	Actl6, BAF53A, Arp4, Baf53a, INO80K
ACTL6B	actin like 6B	BAF53B
ACTL7A	actin like 7A	
ACTL7B	actin like 7B	Tact1
ACTL8	actin like 8	CT57
ACTL9	actin like 9	MGC33407
ACTL10	actin like 10	
ACTN1	actinin alpha 1	
ACTN2	actinin alpha 2	
ACTN3	actinin alpha 3 (gene/pseudogene)	
ACTN4	actinin alpha 4	
ACTR1A	actin related protein 1A	ARP1, Arp1A
ACTR1B	actin related protein 1B	Arp1B
ACTR2	actin related protein 2	ARP2
ACTR3	actin related protein 3	ARP3
ACTR3B	actin related protein 3B	ARP11, ARP3beta
ACTR3C	actin related protein 3C	ARP11
ACTR5	actin related protein 5	FLJ12785, Arp5, INO80M
ACTR6	actin related protein 6	ARP6, FLJ13433
ACTR8	actin related protein 8	INO80N, ARP8
ACTR10	actin related protein 10	HARP11, ACTR11, Arp11, Arp10
ACTRT1	actin related protein T1	AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT2	actin related protein T2	Arp-T2, ARPM2, FLJ25424
ACTRT3	actin related protein T3	ARPM1
ACVR1	activin A receptor type 1	SKR1, ALK2, ACVR1A
ACVR1B	activin A receptor type 1B	ALK4, SKR2, ActRIB
ACVR1C	activin A receptor type 1C	ALK7, ACVRLK7
ACVR2A	activin A receptor type 2A	ACTRII
ACVR2B	activin A receptor type 2B	ActR-IIB
ACVRL1	activin A receptor like type 1	HHT2, ALK1, HHT
ACY1	aminoacylase 1	
ACY3	aminoacylase 3	HCBP1, MGC9740, ACY-3
ACYP1	acylphosphatase 1	
ACYP2	acylphosphatase 2	
ADA	adenosine deaminase	
ADA2	adenosine deaminase 2	ADGF
ADAD1	adenosine deaminase domain containing 1	Tenr
ADAD2	adenosine deaminase domain containing 2	TENRL, FLJ00337
ADAL	adenosine deaminase like	
ADAM2	ADAM metallopeptidase domain 2	PH-30b, PH30, CT15
ADAM7	ADAM metallopeptidase domain 7	GP-83, EAPI
ADAM8	ADAM metallopeptidase domain 8	CD156, MS2, CD156A
ADAM9	ADAM metallopeptidase domain 9	MDC9, KIAA0021, MCMP, Mltng
ADAM10	ADAM metallopeptidase domain 10	kuz, MADM, HsT18717, CD156C
ADAM11	ADAM metallopeptidase domain 11	
ADAM12	ADAM metallopeptidase domain 12	MCMPMltna, MLTN
ADAM15	ADAM metallopeptidase domain 15	MDC15
ADAM17	ADAM metallopeptidase domain 17	cSVP, CD156B
ADAM18	ADAM metallopeptidase domain 18	tMDCIII, ADAM27
ADAM19	ADAM metallopeptidase domain 19	MLTNB
ADAM20	ADAM metallopeptidase domain 20	
ADAM21	ADAM metallopeptidase domain 21	ADAM31
ADAM22	ADAM metallopeptidase domain 22	MDC2
ADAM23	ADAM metallopeptidase domain 23	MDC3
ADAM28	ADAM metallopeptidase domain 28	eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29	ADAM metallopeptidase domain 29	svph1, CT73
ADAM30	ADAM metallopeptidase domain 30	svph4
ADAM32	ADAM metallopeptidase domain 32	
ADAM33	ADAM metallopeptidase domain 33	DKFZp434K0521, dJ964F7.1
ADAMDEC1	ADAM like decysin 1	M12.219
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	C3-C5, METH1, KIAA1346
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	KIAA0366, ADAMTS-4
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	KIAA0688, ADAMTS-2, ADMP-1
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	ADMP-2, ADAMTS11
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	ADAM-TS6
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAM-TS7, DKFZp434H204
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	METH2, FLJ41712, ADAM-TS8
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	KIAA1312
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAM-TS10
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16s
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	FLJ32769, FLJ16363
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	GON-1
ADAMTSL1	ADAMTS like 1	ADAMTSR1, FLJ35283
ADAMTSL2	ADAMTS like 2	KIAA0605
ADAMTSL3	ADAMTS like 3	KIAA1233, punctin-2
ADAMTSL4	ADAMTS like 4	DKFZP434K1772
ADAMTSL5	ADAMTS like 5	
ADAP1	ArfGAP with dual PH domains 1	GCS1L
ADAP2	ArfGAP with dual PH domains 2	
ADAR	adenosine deaminase RNA specific	ADAR1
ADARB1	adenosine deaminase RNA specific B1	ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2	adenosine deaminase RNA specific B2 (inactive)	RED2, hRED2, ADAR3
ADAT1	adenosine deaminase tRNA specific 1	
ADAT2	adenosine deaminase tRNA specific 2	dJ20N2.1, TAD2
ADAT3	adenosine deaminase tRNA specific 3	TAD3
ADCK1	aarF domain containing kinase 1	FLJ39600
ADCK2	aarF domain containing kinase 2	MGC20727
ADCK5	aarF domain containing kinase 5	FLJ35454
ADCY1	adenylate cyclase 1	AC1
ADCY2	adenylate cyclase 2	HBAC2, KIAA1060, AC2
ADCY3	adenylate cyclase 3	AC3
ADCY4	adenylate cyclase 4	AC4
ADCY5	adenylate cyclase 5	AC5
ADCY6	adenylate cyclase 6	AC6
ADCY7	adenylate cyclase 7	KIAA0037, AC7
ADCY8	adenylate cyclase 8	HBAC1, AC8
ADCY9	adenylate cyclase 9	AC9
ADCY10	adenylate cyclase 10	SAC, Sacy, SACI, HCA2, RP1-313L4.2
ADCYAP1	adenylate cyclase activating polypeptide 1	PACAP
ADCYAP1R1	ADCYAP receptor type I	PAC1, PACAPR, PAC1R
ADD1	adducin 1	
ADD2	adducin 2	ADDB
ADD3	adducin 3	
ADGB	androglobin	FLJ23121, dJ408K24.1, CAPN16
ADGRA1	adhesion G protein-coupled receptor A1	KIAA1828
ADGRA2	adhesion G protein-coupled receptor A2	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
ADGRA3	adhesion G protein-coupled receptor A3	FLJ38547, PGR21
ADGRB1	adhesion G protein-coupled receptor B1	
ADGRB2	adhesion G protein-coupled receptor B2	
ADGRB3	adhesion G protein-coupled receptor B3	KIAA0550
ADGRD1	adhesion G protein-coupled receptor D1	DKFZp434B1272, PGR25
ADGRD2	adhesion G protein-coupled receptor D2	PGR24
ADGRE1	adhesion G protein-coupled receptor E1	
ADGRE2	adhesion G protein-coupled receptor E2	CD312
ADGRE3	adhesion G protein-coupled receptor E3	
ADGRE5	adhesion G protein-coupled receptor E5	TM7LN1
ADGRF1	adhesion G protein-coupled receptor F1	hGPCR36, PGR19
ADGRF2	adhesion G protein-coupled receptor F2	hGPCR35, PGR20
ADGRF3	adhesion G protein-coupled receptor F3	hGPCR37, PGR23
ADGRF4	adhesion G protein-coupled receptor F4	FLJ38076, PGR18
ADGRF5	adhesion G protein-coupled receptor F5	DKFZp564O1923, KIAA0758
ADGRG1	adhesion G protein-coupled receptor G1	TM7LN4, TM7XN1
ADGRG2	adhesion G protein-coupled receptor G2	HE6, TM7LN2, EDDM6
ADGRG3	adhesion G protein-coupled receptor G3	Pb99, PGR26
ADGRG4	adhesion G protein-coupled receptor G4	RP1-299I16, PGR17
ADGRG5	adhesion G protein-coupled receptor G5	PGR27
ADGRG6	adhesion G protein-coupled receptor G6	FLJ14937
ADGRG7	adhesion G protein-coupled receptor G7	FLJ14454
ADGRL1	adhesion G protein-coupled receptor L1	KIAA0821, CIRL1, LEC2
ADGRL2	adhesion G protein-coupled receptor L2	KIAA0786, LEC1
ADGRL3	adhesion G protein-coupled receptor L3	KIAA0768, LEC3
ADGRL4	adhesion G protein-coupled receptor L4	ETL
ADGRV1	adhesion G protein-coupled receptor V1	DKFZp761P0710, KIAA0686, FEB4, VLGR1
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ADH-2
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	ADH-3, ADHX, GSNOR
ADH6	alcohol dehydrogenase 6 (class V)	ADH-5
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ADH-4
ADHFE1	alcohol dehydrogenase iron containing 1	ADHFe1, FLJ32430
ADI1	acireductone dioxygenase 1	SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD
ADIG	adipogenin	MGC39724, SMAF1, RP5-1100H13.2
ADIPOQ	adiponectin, C1Q and collagen domain containing	ACRP30, AdipoQ, apM1, GBP28, adiponectin
ADIPOR1	adiponectin receptor 1	PAQR1, ACDCR1
ADIPOR2	adiponectin receptor 2	PAQR2, ACDCR2
ADIRF	adipogenesis regulatory factor	APM2, AFRO
ADK	adenosine kinase	AK
ADM	adrenomedullin	AM
ADM2	adrenomedullin 2	AM2, FLJ21135
ADM5	adrenomedullin 5 (putative)	AM5
ADNP	activity dependent neuroprotector homeobox	KIAA0784, ADNP1
ADNP2	ADNP homeobox 2	KIAA0863
ADO	2-aminoethanethiol dioxygenase	FLJ14547
ADORA1	adenosine A1 receptor	RDC7
ADORA2A	adenosine A2a receptor	RDC8
ADORA2B	adenosine A2b receptor	
ADORA3	adenosine A3 receptor	AD026
ADPGK	ADP dependent glucokinase	DKFZp434B195, ADP-GK
ADPRH	ADP-ribosylarginine hydrolase	ARH1
ADPRHL1	ADP-ribosylhydrolase like 1	ARH2
ADPRHL2	ADP-ribosylhydrolase like 2	ARH3, FLJ20446
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	MDS006
ADRA1A	adrenoceptor alpha 1A	ADRA1L1
ADRA1B	adrenoceptor alpha 1B	
ADRA1D	adrenoceptor alpha 1D	ADRA1R, ADRA1A, ADRA1
ADRA2A	adrenoceptor alpha 2A	ADRAR
ADRA2B	adrenoceptor alpha 2B	ADRARL1
ADRA2C	adrenoceptor alpha 2C	ADRARL2
ADRB1	adrenoceptor beta 1	
ADRB2	adrenoceptor beta 2	ADRBR, BAR, B2AR
ADRB3	adrenoceptor beta 3	
ADRM1	adhesion regulating molecule 1	GP110, Rpn13, ARM1
ADSL	adenylosuccinate lyase	
ADSS1	adenylosuccinate synthase 1	FLJ38602
ADSS2	adenylosuccinate synthase 2	
ADTRP	androgen dependent TFPI regulating protein	dJ413H6.1, AIG1L
AEBP1	AE binding protein 1	ACLP
AEBP2	AE binding protein 2	MGC17922
AEN	apoptosis enhancing nuclease	FLJ12484, FLJ12562
AFAP1	actin filament associated protein 1	AFAP-110, AFAP
AFAP1L1	actin filament associated protein 1 like 1	FLJ36748
AFAP1L2	actin filament associated protein 1 like 2	FLJ14564, Em:AC005383.4, XB130
AFDN	afadin, adherens junction formation factor	AF-6, AF6
AFF1	AF4/FMR2 family member 1	AF-4, AF4
AFF2	AF4/FMR2 family member 2	FRAXE
AFF3	AF4/FMR2 family member 3	MLLT2-like
AFF4	AF4/FMR2 family member 4	AF5Q31, MCEF
AFG1L	AFG1 like ATPase	AFG1
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	SPAX5
AFM	afamin	ALB2, ALBA
AFMID	arylformamidase	DKFZp686F03259, KF
AFP	alpha fetoprotein	FETA
AFTPH	aftiphilin	MGC33965, FLJ20080, FLJ23793, Nbla10388
AGA	aspartylglucosaminidase	ASRG
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	KIAA1099, GGAP1
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	Em:AC012044.1, MRIP2
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	Em:AC073389.1
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	bA324H6.1
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	bA301J7.2, FLJ00312
AGBL1	ATP/GTP binding protein like 1	FLJ32310, CCP4
AGBL2	ATP/GTP binding protein like 2	FLJ23598, CCP2
AGBL3	ATP/GTP binding protein like 3	MGC32955, CCP3
AGBL4	ATP/GTP binding protein like 4	FLJ14442, CCP6
AGBL5	ATP/GTP binding protein like 5	FLJ21839, CCP5
AGER	advanced glycosylation end-product specific receptor	RAGE, SCARJ1
AGFG1	ArfGAP with FG repeats 1	RIP, RAB
AGFG2	ArfGAP with FG repeats 2	RABR
